ID,Ch_name,En_name
12,芥阑,Gai-Lan
13A,芥阑苗,Gai-Lan Miu
16,油菜,Yu-Choy
17,油菜苗,Yu-Choy Miu
22,白菜仔,Baby Bok Choy
24,珍珠白菜苗,Bok Choy Miu
27,上海白菜,Shanghai Bok Choy
28,上海白菜心,Shanghai Bok Choy
29,上海苗,Shanghai Bok Choy Sprout
30,台湾白菜,Taiwan Bok Choy
31,大芥菜,Gai Choy-Large
32,小芥菜,Baby Gai-Choy
33,雪里红,Sher Li Hon
36,空心菜,On-Choy
41,红苋菜苗,Red Yin Choy Miu
42,唐蒿,Tung Hon
44A,绿苋菜(马齿菜),Green Yin Choy
45,有头菠菜,Spincash
47,西洋菜,Watercress
48,无头菠菜,Spincash-Clipped
50,豆苗,Pea Sprout
58,豆苗王,Pea Sprout
51,香麦菜(A菜),A Choy
52,塔古菜,Tak-Gou Choy
53,潺菜,Sun-Choy
54,芫茜,Cilantro
55,辣椒枼,Pepper Leaf
57,番茜(扎),Parsley
59,番薯枼,Yam Leaf
69,罗曼芯(3只),Romaine Lettuce Heart(3s)
70,红枼生菜,Red Leaf Lettuce
72,唐生菜,Green Leaf Lettuce
73,罗曼生菜,Romaine Lettuce
74,西生菜,Iceberg Lettuce
75,短绍菜,Short Siu Choy
76,娃娃菜,Baby Sui Choy
77,长绍菜,Long Siu Choy
79,百加利,Broccoli
81,椰菜花,Cauliflower
81A,台湾椰菜花,Taiwan Cauliflower
82,美国椰菜,Green Cabbage
84,红椰菜,Redbbage
85,台湾椰菜,Taiwan Cabbage
96,粟米仔,Baby Corn
101,唐芹,Chinese Celery
102,西芹,Celery
103,青葱,Creen Onion
104,京葱,Scallion
105,韭菜,Chives
106,韭黄,Yellow Chives
107,韭菜花,Chive Bud
108,大蒜,Leek
109B,蒜苗,Chinese Leek
110,蒜芯,Garlic Sprout
111,芦荀,Asparagus
113,冬荀,Bamboo Shoot
115,粟米,Sweet Corn
116,九层塔,Basil
117,薄荷叶,Mint Leaf
118,茴香草,Baby Dill
119,牛蒡,Long Gobo
120,1磅小红萝卜,Baby Carrot
121,2磅红萝卜,Carrot
122,特大红萝卜,Jumbo Carrot
123,青萝卜,Green Lo Bok
125,白萝卜,White Lo Bok
126,青菜头,Kohlrabi
128,甜菜头,Beet 
129,黄菜头,Yellow Turnip Head
130,菜头,White Turnip Head
131,薯仔,Russet Potato
8131,5磅装薯仔,Russet Potato-5Lbs/bag
132,红皮薯仔,Red Skin Potato
133,黄皮薯仔,Yellow Skin Potato
134,白皮薯仔,White Skin Potato-Nugget
136,大洋葱,Jumbo Onion
